,Import Type,Season Stakes*,Total Stakes*,No. of 1-2-3-Starts*,No. of starts in past 10race meetings,Current Stable Location(Arrival Date),Import Date,Trainer,Owner,Current Rating,Start ofSeason Rating,Sire,Dam,Dam's Sire,Same Sire,name,Country of Origin,Age,Colour,Sex,PP Pre-import races footage
0,PP,$0,$0,0-0-0-0,0,Conghua(08/03/2024),20/01/2024,P C Ng,Athy Ngai Sze Yin,65,65,Bungle Inthejungle,Ms Gree,Toronado,SUPER BONUS SUPERSONIC TRIUMPHANT WARRIOR,2023_J328,IRE,3,Chestnut,Gelding,
1,PPG,$0,$0,0-0-0-2,2,Hong Kong(08/02/2024),09/10/2023,D J Whyte,Chan Ngan Chi & Chen Yung Hung,50,52,Power,Queen Istona,Chateau Istana,J365 BLISSFUL STAR CHEONG FAT HEALTHY POWER HOLY POWER WIDE BLUE YONDER,2023_J181,AUS,3,Bay,Gelding,
2,PP,"$65,100","$65,100",0-0-0-6,1,Hong Kong(02/08/2023),11/02/2023,C S Shum,Edward Chan King Sang,64,72,Gregorian,La Belle Maison,Titus Livius,Nil,2022_H331,IRE,4,Brown,Gelding,
3,PPG,"$2,976,000","$4,619,550",4-1-4-24,1,Hong Kong(06/04/2024),05/07/2022,J Size,Chan Yee Lap,72,61,Per Incanto,Island Time,Al Akbar,J409 J421 AEROINVINCIBLE BABY CRYSTAL BRAVO WARRIOR CAMP FIRE CAN'T GO WONG CIRCUIT VICTORY COLOURFUL PRINCE DUKE WAI FLYING DRAGON GOLDEN LINK GOLDEN LUCK GRAND BOSS HAPPY DAY HEALTHY HEALTHY I GIVE LITTLE BROSE LUCKY FIONN RAGING BLIZZARD RATTAN KINGDOM RATTAN WORLD ROARING BEBE SEIZING THE MOMENT SIXTH GENERATION THE PRIME UNISON WOOD ON FIRE,2022_H037,NZ,5,Bay,Gelding,
4,PP,"$878,400","$878,400",1-0-0-6,1,Hong Kong(02/04/2024),26/07/2022,Y S Tsui,High Value Syndicate,67,63,Vancouver,Anatole,Quiet American,ALP'S AFFECTION ALWAYS FLUKE GRAND NOVA MISSION VOICE MULTISUPER,2022_H076,AUS,5,Bay,Gelding,
5,PP,"$1,251,900","$2,970,650",3-4-2-36,2,Hong Kong(14/03/2024),24/08/2020,D J Hall,ACA Friends Syndicate,46,42,Zoffany,Lavender Bay,Magnus,ALLOY KING C P BRAVE,2020_E144,AUS,7,Bay,Gelding,
6,PP,"$41,000","$41,000",0-0-0-11,3,Hong Kong(02/03/2024),20/02/2023,D A Hayes,Sze-to Ka Ming,51,73,Tosen Stardom,Petroica,Anabaa,Nil,2022_H342,AUS,4,Bay,Gelding,
7,PPG,"$2,113,350","$3,544,425",2-5-2-21,2,Conghua(29/03/2024),26/07/2022,J Size,Good Faith Syndicate,66,60,Press Statement,Encrypted,Hussonet,ALL IS GOOD GORGEOUS WIN MILES OF STAR WINDICATOR FAMILY YOHOHO YOUNG SUPERSTAR,2022_H082,AUS,5,Brown,Gelding,
8,PPG,"$146,100","$1,269,300",1-1-0-20,1,Conghua(27/03/2024),05/07/2022,C Fownes,Ronald Jeffrey Yang Yiu Chong,39,49,Swiss Ace,Repulse Bay,Darci Brahma,AMAZING GALAXY DRAGON AIR FORCE EURO ROCKS FAST SERVE FLYING ACE FORTUNE WARRIOR GIMME FIVE HAROLD WIN JOYFUL LIFE LOST CHILD LOYAL BO BO MARIO MASSIVE TALENT MR ENERGIA NEW POWER THUNDERBOLTAURUS B TOP PEAK,2022_H046,NZ,5,Bay,Gelding,
9,PPG,"$3,432,600","$6,737,425",5-3-3-20,1,Conghua(05/04/2024),20/12/2021,P F Yiu,Tam Kwok Cheung,83,72,Deep Field,Dijonnaise,I Am Invincible,J423 J427 ALMIGHTY KICK BLAZING WIND BOOMBAYAH CALIFORNIA DEEPLY CALIFORNIA ICON CALIFORNIA TOUCH CHEER FOR SOUTH CIRCUIT MAXIMUS CIRCUIT SEVEN DAN ATTACK DEEP PURSUIT DENFIELD DIAMOND FLARE DIAMOND SOARS DRACO DRALA DURHAM STAR EVERYONE'S VICTORY FALCON COURT FASHION LEGEND GALLANT GOODY GORGEOUS VITALITY HAYDAY HINOKAMI KAGURA HOWDEEPISYOURLOVE HYPER DRAGON BALL JOY OF SPRING LIFE OF STONE LUCKY ARCHANGEL MASTER MASTERMIND MORE RICE MUGEN NOBLE ONE NOBLE WIN PACKING BOLE PACKING BRILLIANT PARENTS' LOVE ROBOT KNIGHT RUN RUN TIMING SELF IMPROVEMENT SPLENDID STAR SPONGE BABE SPORTS LEGEND SUGAR BALL SUPER ELITE SUPER GLORY SUPER HIGHWAY SUPREME LUCKY TEAM HAPPY THE GOLDEN SCENERY THE GOOD DEAL VIGOR ELLEEGANT VIVA GRACIOUSNESS VOYAGE BUBBLE WINNING MONEY YEE CHEONG RAIDER YOO YOO KNIGHT YOUTHFUL DEAL,2021_G317,AUS,5,Bay,Gelding,
10,PPG,"$900,900","$900,900",1-1-0-3,2,Hong Kong(07/03/2024),09/10/2023,P C Ng,Fortune Owners Syndicate,60,52,Per Incanto,Miss Bondi,O'Reilly,J409 J421 A AMERIC TE SPECSO BABY CRYSTAL BRAVO WARRIOR CAMP FIRE CAN'T GO WONG CIRCUIT VICTORY COLOURFUL PRINCE DUKE WAI FLYING DRAGON GOLDEN LINK GOLDEN LUCK GRAND BOSS HAPPY DAY HEALTHY HEALTHY I GIVE LITTLE BROSE LUCKY FIONN RAGING BLIZZARD RATTAN KINGDOM RATTAN WORLD ROARING BEBE SEIZING THE MOMENT SIXTH GENERATION THE PRIME UNISON WOOD ON FIRE,2023_J180,NZ,3,Brown,Gelding,
11,PPG,"$634,200","$634,200",0-2-1-11,2,Hong Kong(21/03/2024),16/01/2023,P F Yiu,Argon Syndicate,44,51,Choisir,Sheer Style,Snitzel,MAGIC PHOENIX VANTASTIC CHOICE,2022_H306,AUS,4,Chestnut,Gelding,
12,PP,$0,$0,0-0-0-2,2,Conghua(05/04/2024),19/12/2023,D A Hayes,Dr Gene Tsoi Wai Wang,65,67,Hardham,Preventable,Anabaa,Nil,2023_J242,AUS,4,Bay,Gelding,
13,PP,"$719,550","$719,550",1-0-0-10,0,Conghua(26/01/2024),14/01/2023,A S Cruz,Chen Chun Man,52,57,New Bay,Ardeola,Manduro,Nil,2022_H293,GER,5,Chestnut,Gelding,
14,PPG,"$2,053,550","$2,091,350",2-1-2-15,2,Hong Kong(19/12/2022),19/12/2022,P C Ng,Clement Cheng Ka Man,58,49,Derryn,La Petite,Savabeel,FAMILY FORTUNE TELECOM DRAGON VIEW OF THE WORLD,2022_H289,NZ,4,Bay,Gelding,
15,PP,"$2,074,600","$4,327,600",1-2-1-16,2,Hong Kong(30/03/2024),29/10/2022,J Richards,Harmony Racing Syndicate,82,84,Lookin At Lucky,Afirmate Catalina,Special Quest,MOMENTS IN TIME,2022_H210,CHI,5,Bay,Gelding,
16,PPG,"$1,318,150","$4,284,550",3-1-3-26,2,Conghua(01/04/2024),18/01/2021,F C Lor,Kitty Kwok Sea Nga,63,67,All Too Hard,Extension Of Time,Dash For Cash,J342 BEAU CADEAU BOWSER BRAVE JOY BUNDLE OF CHARM CONTI CONTI GREAT LOOKING JOLLY COMPANION KEEFY MUST GO PATCH OF STARS VICTORYTHIRTYTHREE,2020_E355,AUS,6,Chestnut,Gelding,
17,PPG,"$4,040,400","$14,266,305",9-7-3-48,1,Conghua(05/04/2024),10/06/2019,F C Lor,St Paul's Boys Syndicate,97,88,Magnus,So Enticing,Ice Point,EIGHT TRIGRAMS HAPPY AGAIN HARMONY N BLESSED SIGHT SUCCESS,2018_C517,AUS,7,Bay,Gelding,
18,PPG,"$691,250","$1,243,700",2-0-1-28,2,Hong Kong(26/05/2023),05/07/2021,M Newnham,Mr & Mrs Chan Ting Leung,25,25,Super One,Trial Bay,Congrats,J435 J436 E UNIVERSE FOXHUNTER GO GLUCK RACER GOLDEN ONE NOTTHESILLYONE SIX BEST FRIENDS,2021_G042,AUS,5,Grey,Gelding,
19,PPG,"$216,450","$1,969,125",2-1-1-19,2,Conghua(22/03/2024),14/07/2021,P F Yiu,The Golden Times Syndicate,49,52,Wandjina,Fantasy Lady,Fasliyev,DRAGON DELIGHT FLAMINGO TRILLION GALAXY PATCH PRINCE OF PORTY PROSPEROUS SMILE,2021_G060,AUS,6,Brown,Gelding,
20,PPG,$0,$0,0-0-0-0,0,Conghua(05/02/2024),21/12/2023,J Richards,Philip Chu Yin Kam & Alex Chu Kiu Ming,52,52,Vancouver,Sawakiyna,Sea The Stars,ACE VICTORY ALWAYS FLUKE GRAND NOVA MISSION VOICE MULTISUPER,2023_J289,NZ,3,Bay,Gelding,
21,PPG,$0,$0,0-0-0-0,0,Hong Kong(09/11/2023),09/11/2023,C S Shum,"Chan Kwok Yuen, Terence Lun Tin Yeu & Paul Li Cheuk Wai",52,52,Kermadec,Galleries,Royal Academy,J432 GO HERO RUNNING GLORY SUPER HONG KONG SUPERB WITNESS,2023_J236,AUS,3,Bay,Gelding,
22,PPG,$0,$0,0-0-0-0,0,Conghua(07/02/2024),19/12/2023,K W Lui,Alan Ho Yuk Lun,52,52,Deep Field,Star Flight,Hard Spun,J423 J427 ADEFILL BLAZING WIND BOOMBAYAH CALIFORNIA DEEPLY CALIFORNIA ICON CALIFORNIA TOUCH CHEER FOR SOUTH CIRCUIT MAXIMUS CIRCUIT SEVEN DAN ATTACK DEEP PURSUIT DENFIELD DIAMOND FLARE DIAMOND SOARS DRACO DRALA DURHAM STAR EVERYONE'S VICTORY FALCON COURT FASHION LEGEND GALLANT GOODY GORGEOUS VITALITY HAYDAY HINOKAMI KAGURA HOWDEEPISYOURLOVE HYPER DRAGON BALL JOY OF SPRING LIFE OF STONE LUCKY ARCHANGEL MASTER MASTERMIND MORE RICE MUGEN NOBLE ONE NOBLE WIN PACKING BOLE PACKING BRILLIANT PARENTS' LOVE ROBOT KNIGHT RUN RUN TIMING SELF IMPROVEMENT SPLENDID STAR SPONGE BABE SPORTS LEGEND SUGAR BALL SUPER ELITE SUPER GLORY SUPER HIGHWAY SUPREME LUCKY TEAM HAPPY THE GOLDEN SCENERY THE GOOD DEAL VIGOR ELLEEGANT VIVA GRACIOUSNESS VOYAGE BUBBLE WINNING MONEY YEE CHEONG RAIDER YOO YOO KNIGHT YOUTHFUL DEAL,2023_J254,AUS,3,Chestnut,Gelding,
23,PPG,"$941,850","$1,066,050",1-1-1-9,1,Hong Kong(27/02/2024),07/11/2022,K W Lui,Lam Fuk Tak,55,49,Vancouver,Gem Of Gems,Peintre Celebre,ACE VICTORY ALP'S AFFECTION GRAND NOVA MISSION VOICE MULTISUPER,2022_H252,AUS,4,Bay,Gelding,
24,PPG,$0,$0,0-0-0-0,0,Hong Kong(25/01/2024),25/01/2024,C W Chang,So Wing Keung,,,Capitalist,Madame Veuve,Dissident,J308 J362 J369 J402 BELLE HEART BLUE MARLIN CALIFORNIA BLITZ CAPITAL DELIGHT CAPITAL LEGEND CHILLI BABA GENEVA GIANT LEAP HERO WARRIOR JUBILANT WINNER LADY BILLIE MA COMET MONTA FRUTTA PLENTIFUL RISE COMPANIONS SAVVY CHIC SEASONS WIT SMILING EMPEROR SOLAR GOGO SOLAR UP SPICY KNUCKLES SPORTIC WARRIOR SUNLIGHT POWER SUPERB CAPITALIST WINNING DATA,2023_J345,AUS,2,Chestnut,Colt,
25,PPG,"$40,950","$105,750",0-0-0-8,0,Conghua(02/02/2024),07/11/2022,D J Hall,Foster Lee & Mandy Chan,40,49,Dalghar,Lady Euro,Perfectly Ready,Nil,2022_H245,NZ,4,Chestnut,Gelding,
26,PP,"$157,950","$157,950",0-0-1-6,0,Conghua(25/12/2023),20/03/2023,T P Yung,Kelly Yip Yan San,57,63,I Am Invincible,Take Pride,Reward For Effort,J419 J420 CALIFORNIA CIBLE CALL ME DANDY CHAMPION METHOD MAJESTIC EXPRESS MOJAVE DESERT PATCH OF WATCH ROBOT FIGHTER SERGEANT PEPPER,2022_H359,AUS,4,Bay,Gelding,
27,PPG,"$325,500","$2,235,675",1-4-1-11,0,Conghua(23/02/2024),07/06/2022,D A Hayes,Mr & Mrs James Tien Pei Chun,67,66,Scissor Kick,Phaedra,Hussonet,INVINCIBLE LUCKY LITTLE FAIRY,2021_H007,AUS,5,Brown,Gelding,
28,PPG,"$735,700","$2,987,400",5-1-3-42,2,Hong Kong(11/01/2024),12/11/2019,K H Ting,Lun Hoi Sze,39,33,Zoffany,Terhaab,More Than Ready,ACA POWER C P BRAVE,2019_D287,AUS,7,Bay,Gelding,
29,PPG,$0,$0,0-0-0-0,0,Hong Kong(22/01/2024),22/01/2024,D J Whyte,Robert Ng Chee Siong,,,Harry Angel,Cambage,Haradasun,J379 J431,2023_J336,AUS,2,Chestnut,Gelding,
30,PP,"$2,678,450","$2,678,450",1-0-0-7,1,Hong Kong(08/05/2023),08/05/2023,K H Ting,Grinders' Racing Club Syndicate,64,63,Cluster,Grand City,Ilovethiscity,Nil,2022_H392,AUS,4,Bay,Gelding,
31,PPG,$0,$0,0-0-0-0,0,Hong Kong(09/11/2023),09/11/2023,K H Ting,Tony Ng Fung Sing,52,52,Swiss Ace,Funhouse,Mossman,ACE TALENT DRAGON AIR FORCE EURO ROCKS FAST SERVE FLYING ACE FORTUNE WARRIOR GIMME FIVE HAROLD WIN JOYFUL LIFE LOST CHILD LOYAL BO BO MARIO MASSIVE TALENT MR ENERGIA NEW POWER THUNDERBOLTAURUS B TOP PEAK,2023_J238,NZ,3,Bay,Gelding,
32,PPG,$0,$0,0-0-0-0,0,Conghua(15/03/2024),05/06/2023,C H Yip,Mr & Mrs Roger Ngan,52,52,Tivaci,Queen Of Pop,Pins,GOLDEN BULL MISTER DAPPER SOARING BRONCO SUPER CONTENTED,2022_H442,NZ,4,Bay,Gelding,
33,PPG,$0,$0,0-0-0-9,0,Conghua(08/03/2024),23/08/2022,W Y So,Whampoa Star Syndicate,32,39,Iffraaj,She Is All Fashion,Duke Of Marmalade,J451 BROTHER CHENG I CAN LEATHER MASTER LUCKY GOLD NICHOLSON RETURNS SUNNY BABY SUPER TAICHI,2022_H132,NZ,4,Chestnut,Gelding,
34,ISG,$0,$0,0-0-0-4,1,Hong Kong(01/07/2023),01/07/2023,W K Mo,Happy at Work Syndicate,44,52,Spirit Of Boom,Abscond,Galileo,CHILL MASTER STRONGEST BOY,2022_H488,AUS,4,Bay,Gelding,
35,PPG,"$1,287,000","$4,857,400",5-4-4-37,2,Conghua(29/03/2024),25/05/2021,J Size,Ricky Tsoi Kee Kwong,60,59,Darci Brahma,I'm Chunkys,Shinko King,H349 BOURBONAIRE COSMO NAVIGATOR D STAR DARCI JOY FORTUNE RACER FOXHUNTER KING FURTHER FORWARD GOLDEN DARCI JOYFUL HUNTER KING INVINCIBLE SPEED DRAGON TO INFINITY,2020_E449,NZ,6,Bay,Gelding,
36,ISG,"$532,350","$3,629,150",3-6-4-41,0,Hong Kong(04/07/2020),04/07/2020,C W Chang,Back Room Boys Syndicate,38,45,Holy Roman Emperor,Ashtaroute,Holy Bull,CERVIN COLOURFUL EMPEROR DRAGON KINGDOM HOLY LAKE LOOKING GREAT LOYAL AMBITION MAXIMIZE HEART MY INTELLIGENT SPARKLING KNIGHT STAR OF GLORY TRAVEL GOLF YOU'REMYEVERYTHING,2019_D513,IRE,7,Bay,Gelding,
37,PP,"$152,850","$152,850",0-0-0-8,2,Hong Kong(07/03/2024),08/05/2023,D A Hayes,Nicola Chu Ming Nga,54,66,Zoustar,Global Glamour,Star Witness,J405 J417 J422 J458 CALIFORNIATOTALITY CELESTIAL COLOURS CHIU CHOW BROTHER CHIU CHOW SPIRIT HAPPY HORSE HEALTHY HAPPY KOWLOON EAST STAR LOVING VIBES MY FLYING ANGEL NOT USUAL STAR PATCH OF THETA RAGING RAPIDS SOLAR PARTNER STELLAR EXPRESS SUMMIT CHEERS SUPER FORTUNE SWEET DIAMOND YOUNG CHAMPION,2022_H401,AUS,4,Bay,Gelding,
38,PPG,"$553,350","$7,108,325",3-7-6-29,1,Hong Kong(07/12/2023),09/08/2021,W Y So,Chan Kwok Yuen,73,79,Sizzling,Stitchery,Mossman,Nil,2021_G123,AUS,5,Bay,Gelding,
39,PPG,"$40,950","$40,950",0-0-0-6,1,Conghua(08/03/2024),05/06/2023,W Y So,"Cai Kui, Kenny Tse Chiu Ping & Billy Tse Chiu Man",42,52,Ribchester,Babelicious,Not A Single Doubt,THUNDER BLINK,2022_H437,AUS,4,Bay,Gelding,
40,PP,"$243,350","$5,659,100",3-4-2-29,1,Conghua(05/04/2024),04/05/2020,P C Ng,Leo Racing Syndicate,83,90,War Chant,Apache Point,High Chaparral,Nil,2019_D433,AUS,7,Bay,Gelding,
41,PP,$0,$0,0-0-0-2,2,Hong Kong(07/03/2024),09/10/2023,P F Yiu,Friends of Shine Tak Syndicate,61,63,Not A Single Doubt,Courtesan,Mastercraftsman,FURY AND GOLD HEROIC MASTER LYRICAL MOTION MEEPMEEP NORTHERN BEACHES PAKISTAN FRIEND SKY FOREVER TURIN WARRIOR,2023_J169,AUS,3,Bay,Gelding,
42,PP,"$455,700","$455,700",0-1-0-4,1,Hong Kong(27/07/2023),27/07/2023,K H Ting,Johnny Shih Jar Yi,65,66,War Decree,Enthusabelle,Savabeel,CARRYON SMILING FIGHTING MACHINE GREENWICH INNOTECH STAR JUDY'S GREAT,2023_J039,NZ,4,Brown,Gelding,
43,PP,"$1,404,000","$2,236,500",0-7-1-23,3,Hong Kong(07/03/2024),02/10/2021,D A Hayes,Martin Siu Kim Sun,56,56,Exceed And Excel,Garra Molly,Nayef,J403 J415 CIRCUIT ELEVEN CRYSTAL POWERFUL DEAL COMPLETED EXCEL WONGCHOY GUSTOSISIMO HANG'S CHOICE KING ECCELLENTE KING MILES MAGIC TRAVELLER ROMANTIC NOVELIST SAVVY DELIGHT SHINE BRIGHT SUPER AXIOM,2021_G223,IRE,6,Bay,Gelding,
44,PP,"$54,025","$307,025",0-0-1-23,1,Hong Kong(07/04/2023),12/09/2020,Y S Tsui,Yau Kwok Fai,26,46,Camelot,Madeira Mist,Grand Lodge,FIVE G PATCH,2020_E194,IRE,7,Bay,Gelding,
45,PP,"$1,515,900","$5,178,000",3-3-3-30,2,Hong Kong(26/10/2023),09/08/2021,J Richards,Johnny Shih Jar Yi,69,74,Epaulette,Search For Fame,Quest For Fame,J449 COPARTNER PRANCE ERNEST FEELING LUCKY ENCOUNTER PAKISTAN LEGACY SUPREME WINNER THE GREAT MASTER,2021_G093,AUS,6,Bay,Gelding,
46,PP,$0,"$6,257,750",4-1-0-23,1,Hong Kong(13/07/2022),09/08/2021,K L Man,Happy Companions Syndicate,80,90,Star Turn,Fast 'N' Witty,Fastnet Rock,BEAUTY DESTINY FORTUNE COOKIES HASTEN DELIGHT STAR CLUB STAR CONTACT STORMING DRAGON SUGAR SUGAR,2021_G102,AUS,5,Bay,Gelding,
47,PPG,"$306,700","$2,295,350",2-3-3-29,1,Hong Kong(29/02/2024),03/03/2021,J Richards,Joey Tong Yat Sing,33,46,Ocean Park,Warm Whispers,Stravinsky,NINJA DERBY SUPER TEN VALHALLA,2020_E400,NZ,6,Chestnut,Gelding,
48,PPG,"$271,250","$2,498,650",3-1-4-31,2,Conghua(22/03/2024),13/03/2020,J Richards,Patrick Wang,28,48,Highly Recommended,Queen Of The Castle,Castledale,Nil,2019_D409,NZ,6,Bay,Gelding,
49,PPG,"$883,500","$2,691,975",2-2-3-14,2,Conghua(05/04/2024),13/09/2022,A S Cruz,Lincoln Ling,61,65,Sooboog,Charleah,Myboycharlie,CHAIN OF GOLD FAST AS ROCKET HELLS BELLS JOY COMING STRATHBARRY WONDER KIT,2022_H150,AUS,4,Bay,Gelding,
50,PP,"$418,900","$418,900",0-0-1-7,1,Hong Kong(04/04/2024),31/07/2023,C Fownes,Lam Fuk Tak,69,77,Awesome Rock,Jayquin Star,O'Reilly,Nil,2023_J050,AUS,4,Bay,Gelding,
51,PPG,$0,$0,0-0-0-0,0,Conghua(16/10/2023),31/07/2023,P C Ng,Alexander Leung Ho Yin,52,52,Star Witness,Cool Snitzel,Snitzel,BRAVE WITNESS BRIGHT INHERITANCE GALAXY WITNESS HUMBLE STAR MANYTHANKS FOREVER MOLLY'S WITNESS MR MAESTRO NERVOUS WITNESS SUPER INFINITY YOUNG HORIZON,2023_J066,AUS,3,Bay,Gelding,
52,PPG,"$2,369,850","$4,249,050",3-6-0-14,1,Hong Kong(14/07/2023),26/07/2022,K W Lui,Ip Wai Yuen & Chan Tak Wa,72,60,Per Incanto,Makkura,Falkirk,J409 J421 A AMERIC TE SPECSO AEROINVINCIBLE BRAVO WARRIOR CAMP FIRE CAN'T GO WONG CIRCUIT VICTORY COLOURFUL PRINCE DUKE WAI FLYING DRAGON GOLDEN LINK GOLDEN LUCK GRAND BOSS HAPPY DAY HEALTHY HEALTHY I GIVE LITTLE BROSE LUCKY FIONN RAGING BLIZZARD RATTAN KINGDOM RATTAN WORLD ROARING BEBE SEIZING THE MOMENT SIXTH GENERATION THE PRIME UNISON WOOD ON FIRE,2022_H081,NZ,5,Brown,Gelding,
53,PPG,$0,$0,0-0-0-1,0,Conghua(13/03/2024),14/08/2023,C Fownes,Winning Delight Syndicate,52,52,The Autumn Sun,I Am Queen,Animal Kingdom,C P ONE GOLD JEWELLERY GOLD MASTER SO WE SING,2023_J090,AUS,3,Bay,Gelding,
54,PP,"$753,300","$3,314,900",1-1-3-23,2,Hong Kong(23/03/2024),02/10/2021,C Fownes,Martin Siu Kim Sun,71,80,Cotai Glory,Atlas Silk,Dansili,CIRCUIT TEN SKYEY BLUE,2021_G221,IRE,5,Chestnut,Gelding,
55,PPG,"$900,900","$2,910,835",1-7-0-25,2,Hong Kong(28/03/2024),10/05/2021,D A Hayes,Leung Woon Man,51,52,Charm Spirit,Bizz,Volksraad,CAMINO CHARMING STEED CHEVAL VALIANT DOUBLE BINGO FUN N FUN TOGETHER GLORY CLOUD GO GO GO HAPPY HUNK HONG KONG HALL KA YING VICTORY LADY'S CHOICE LO PAN SPIRIT MASTER OF ALL MILLENNIUM FALCON SILVER SPURS SOARING TOWER TACTICAL COMMAND TRIPLE BLISS,2020_E435,NZ,6,Bay,Gelding,
56,PP,"$5,092,150","$9,029,625",4-2-3-23,0,Conghua(28/02/2024),13/09/2021,D J Hall,Zeng Shuida & Ma Yi,97,82,Street Boss,Kellys Ocean Jewel,Dansili,STREET CONQUEROR STURDY RUBY TELECOM SPEED,2021_G173,AUS,5,Bay,Gelding,
57,PPG,$0,$0,0-0-0-0,0,Hong Kong(08/01/2024),08/01/2024,C W Chang,Pemelar Fan Lau Yuk Ming,,,Hellbent,Mumford,Collate,CRAIG'S MASTER SUPER BEN TATTENHAM THE CONCENTRATION,2023_J313,AUS,2,Bay,Colt,
58,PPG,$0,$0,0-0-0-0,0,Hong Kong(19/12/2023),19/12/2023,J Size,Beauty Syndicate,52,52,Starcraft,Rezyana,Redoute's Choice,BIG RED DEVIL AND GOLD EAGLE RUN RED MAVERICK SUPER JOY,2023_J260,AUS,3,Bay,Gelding,
59,PP,"$1,945,850","$2,107,850",1-1-5-17,2,Hong Kong(15/02/2023),09/08/2022,A S Cruz,Eddie Wong Ming Chak,65,58,Tavistock,Here We Come,Exceed And Excel,AORAKI SUMMIT CASA COSMO CASA LEGEND CIRCUIT FIERY FLOOF FOREVER FOLKS PRECISION GOAL RUNNING AHEAD SUPER GOLDI SUPERB DADDY,2022_H090,NZ,5,Bay,Gelding,
60,PPG,$0,$0,0-0-0-0,0,Conghua(06/03/2024),22/01/2024,J Richards,Dr Andy Poon Tsz Chung,52,52,All Too Hard,Pentasia,Pentire,J342 ALL BEAUTY BOWSER BRAVE JOY BUNDLE OF CHARM CONTI CONTI GREAT LOOKING JOLLY COMPANION KEEFY MUST GO PATCH OF STARS VICTORYTHIRTYTHREE,2023_J334,AUS,3,Bay,Gelding,
61,PPG,$0,$0,0-0-0-0,0,Hong Kong(19/12/2023),19/12/2023,W Y So,Sandia Yit Lau Ying Lam & Yit Kwok Leung,52,52,Ace High,Sinnfonia,Sinndar,BALLISTIC WIN DANIWIN WINNING DAY,2023_J250,NZ,3,Bay,Gelding,
62,PPG,"$441,300","$781,500",0-1-3-14,2,Hong Kong(07/12/2023),22/03/2022,D J Whyte,Dr Andy Poon Tsz Chung,39,45,Time Test,Shehzaadi,Pins,J384 J390 FLAMING RABBIT FUNG HO HO STAR ISLAND GOLDEN LEEDOX MIGHTY STRENGTH OFFROAD MASTER OMAKASE SWEET SMILE TIMES TABLE TOP GUN,2021_G389,NZ,4,Bay,Gelding,
63,PPG,"$93,600","$93,600",0-0-0-4,0,Hong Kong(05/12/2023),27/07/2023,T P Yung,Ballistic Racing Syndicate,48,52,Ace High,Toy Story,Viking Ruler,BEAUTIFUL WIN DANIWIN WINNING DAY,2023_J040,NZ,3,Brown,Gelding,
64,PP,"$789,750","$4,655,700",4-2-3-40,0,Hong Kong(30/12/2022),15/09/2018,C W Chang,Mr & Mrs Peter P C Fan,56,50,Mizzen Mast,Solo Piano,Empire Maker,Nil,2018_C143,USA,9,Bay,Gelding,
65,PPG,"$1,493,400","$1,493,400",2-1-2-20,2,Hong Kong(05/05/2022),05/05/2022,Y S Tsui,Cheng Chak Yin,37,31,Outreach,Warrilla,Magic Albert,CARROLL STREET GUSTY FIGHTER SPICY SO SMART TIMESTORM,2021_G414,AUS,5,Bay,Gelding,
66,PP,$0,"$2,054,725",2-0-1-25,0,Hong Kong(06/02/2024),28/08/2021,W K Mo,Eleanor Kwok Law Kwai Chun,59,67,Excelebration,Missisipi Baileys,Aqlaam,MAJESTIC VICTORY,2021_G137,FR,7,Bay,Gelding,
67,PP,"$2,432,400","$7,877,950",4-2-2-17,2,Hong Kong(05/12/2023),02/10/2021,A S Cruz,Patrick Kwok Ho Chuen,95,91,Havana Gold,Poppets Sweetlove,Foxhound,KYRUS UNICORN MASTEROFMYUNIVERSE,2021_G231,GB,5,Bay,Gelding,
68,PP,"$2,760,700","$2,760,700",0-3-3-13,1,Conghua(05/04/2024),11/02/2023,A S Cruz,Beauty Family Syndicate,79,76,Acclamation,Up In Time,Noverre,LIGHTNING BOLT RICH HORSE ROMANTIC WARRIOR THE KHAN,2022_H334,IRE,4,Bay,Gelding,
69,PP,"$1,118,100","$2,355,475",0-5-1-16,2,Conghua(05/04/2024),23/08/2022,F C Lor,Kwok Siu Ming,62,73,Smart Missile,Five Card Charlie,Sebring,J366 COMMANDING MISSILE CRAZY TREASURE GENERAL WINNER GRAND CONQUEROR GREEN N WHITE HIGH RISE POWER INVINCIBLE MISSILE LAPRAS MIDORI BURLY MISSION BRAVO SPEED SWORD TSUEN WAN GLORY YOUNG VICTORY,2022_H123,AUS,4,Brown,Gelding,
70,PPG,"$245,700","$369,900",0-1-1-8,1,Hong Kong(05/10/2023),19/12/2022,F C Lor,Yuki Kong Yuk Ki & Patrick Kwok Ho Chuen,45,52,Star Turn,Cocoexcel,Exceed And Excel,ASTROLOGER FORTUNE COOKIES HASTEN DELIGHT STAR CLUB STAR CONTACT STORMING DRAGON SUGAR SUGAR,2022_H281,AUS,4,Chestnut,Gelding,
