,Import Type,Season Stakes*,Total Stakes*,No. of 1-2-3-Starts*,No. of starts in past 10race meetings,Current Stable Location(Arrival Date),Import Date,Trainer,Owner,Current Rating,Start ofSeason Rating,Sire,Dam,Dam's Sire,Same Sire,name,Country of Origin,Age,Colour,Sex,PP Pre-import races footage
370,PP,"$199,650","$199,650",0-0-1-8,2,Hong Kong(29/06/2023),29/06/2023,D J Hall,Leading Edge Racing Syndicate,54,66,Darci Brahma,Strictly Maternal,O'Reilly,H349 AMAZING TEENS BOURBONAIRE COSMO NAVIGATOR D STAR DARCI JOY FORTUNE RACER FOXHUNTER KING FURTHER FORWARD JOYFUL HUNTER KING INVINCIBLE SPEED DRAGON TO INFINITY,2022_H470,NZ,4,Bay,Gelding,
371,PP,"$1,634,850","$3,988,975",2-0-1-16,1,Conghua(13/03/2024),07/06/2022,P F Yiu,Henry Chan Lai Yue,72,67,Artie Schiller,Dig A Pony,Mutawaajid,J360 LUCKY WITH YOU ORIENTAL SMOKE WINNING SEVEN,2021_G434,AUS,4,Bay,Gelding,
372,PPG,"$595,000","$595,000",1-0-0-15,0,Hong Kong(28/10/2023),25/05/2021,W Y So,"Rex Wong Siu Han, Ivan Wong Siu Kei & Ann Wong Pui Gee",24,23,Burgundy,Steal,Red Ransom,J448 DOUBLE WIN FIRE BALL MASTER OF LUCK SAKEWIN,2020_E448,NZ,5,Bay,Gelding,
373,ISG,"$1,367,100","$6,115,750",5-1-4-25,3,Hong Kong(04/04/2024),28/06/2021,K W Lui,Law Yung Koon,71,72,Fastnet Rock,Pretty Paper,Medaglia d'Oro,CHATEAUNEUF FOREMOST TEDDY INTREPID WINNER MASTER OF FORTUNE METRO WARRIOR O'LINER ROCKET SPADE SETANTA STRAIGHT ARRON,2020_E490,FR,6,Bay,Gelding,
374,PPG,"$538,200","$5,601,055",3-8-3-46,1,Hong Kong(21/12/2023),27/09/2019,P F Yiu,Mr & Mrs John McNie and Mr & Mrs Henry Chan Lai Yue,47,58,Per Incanto,Kendoka,Reset,J409 J421 A AMERIC TE SPECSO AEROINVINCIBLE BABY CRYSTAL BRAVO WARRIOR CAMP FIRE CAN'T GO WONG CIRCUIT VICTORY COLOURFUL PRINCE DUKE WAI FLYING DRAGON GOLDEN LUCK GRAND BOSS HAPPY DAY HEALTHY HEALTHY I GIVE LITTLE BROSE LUCKY FIONN RAGING BLIZZARD RATTAN KINGDOM RATTAN WORLD ROARING BEBE SEIZING THE MOMENT SIXTH GENERATION THE PRIME UNISON WOOD ON FIRE,2019_D222,NZ,7,Bay,Gelding,
375,PPG,"$1,147,800","$1,147,800",1-1-0-5,2,Hong Kong(26/06/2023),26/06/2023,F C Lor,Wilson Long Ho Lam,60,52,Brazen Beau,Socialize,Iffraaj,CAMPIONE FORTUNE MASTER FUN ELITE HARMONY FIRE KA YING POWER WINNING GOLD,2022_H462,AUS,3,Bay,Gelding,
376,PPG,"$1,041,300","$1,694,700",2-0-2-14,1,Hong Kong(13/09/2022),13/09/2022,K L Man,"Chan Kam Shing, Wu Kai Char, Marrick Wong Chi Ming & Jermann Lai Tze Man",55,53,Per Incanto,Creil,Frenchpark,J409 J421 A AMERIC TE SPECSO AEROINVINCIBLE BABY CRYSTAL BRAVO WARRIOR CAMP FIRE CAN'T GO WONG CIRCUIT VICTORY COLOURFUL PRINCE DUKE WAI FLYING DRAGON GOLDEN LINK GRAND BOSS HAPPY DAY HEALTHY HEALTHY I GIVE LITTLE BROSE LUCKY FIONN RAGING BLIZZARD RATTAN KINGDOM RATTAN WORLD ROARING BEBE SEIZING THE MOMENT SIXTH GENERATION THE PRIME UNISON WOOD ON FIRE,2022_H159,NZ,4,Bay,Gelding,
377,PPG,$0,$0,0-0-0-2,1,Hong Kong(11/01/2024),26/06/2023,P F Yiu,Mr & Mrs John McNie and Mr & Mrs Henry Chan Lai Yue,50,52,Super One,Mesclun,Salade,J435 J436 ALL IS READY E UNIVERSE FOXHUNTER GO GLUCK RACER NOTTHESILLYONE SIX BEST FRIENDS,2023_J010,AUS,4,Bay,Gelding,
378,PPG,$0,$0,0-0-0-1,1,Conghua(27/03/2024),07/11/2023,J Size,Michael Ng Chi Lam & Gloria Ng Wong Yee Man,52,52,Savabeel,Fast Company,Fastnet Rock,J418 COURIER MAGIC DUBLIN STAR GREAT ACHIEVER KASA PAPA M UNICORN NOBLE PURSUIT ON THE LASH ROMANTIC CHARM SUPER UNICORN,2023_J224,NZ,3,Bay,Gelding,
379,PP,"$65,100","$65,100",0-0-0-3,2,Hong Kong(02/03/2024),09/08/2022,C S Shum,"Weber Lo Wai Pak, Chew Sein Mene & Henry Chan Tin Sang",59,63,Telperion,Fille de France,Mossman,GANGNAM STAR GENERAL ACE,2022_H100,NZ,5,Brown,Gelding,
